,subject_id,task,condition,target,response,PROLIFIC_PID
268,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
269,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
270,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,1,5fd8a13aaf5bd723a0e0e3fa
271,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,3,5fd8a13aaf5bd723a0e0e3fa
272,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,4,5fd8a13aaf5bd723a0e0e3fa
273,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,2,5fd8a13aaf5bd723a0e0e3fa
274,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,3,5fd8a13aaf5bd723a0e0e3fa
275,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
276,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,4,5fd8a13aaf5bd723a0e0e3fa
277,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,4,5fd8a13aaf5bd723a0e0e3fa
278,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,2,5fd8a13aaf5bd723a0e0e3fa
279,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,4,5fd8a13aaf5bd723a0e0e3fa
280,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,4,5fd8a13aaf5bd723a0e0e3fa
281,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
282,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,2,5fd8a13aaf5bd723a0e0e3fa
283,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
